2023-06-05 11:40:17[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:40:17[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:40:18[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:40:18[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:40:18[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:40:18[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:42:17[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:42:17[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:42:17[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:42:17[ INFO ]User: >>equals测试成功
2023-06-05 11:42:17[ INFO ]User: >>hashcode测试成功
2023-06-05 11:42:17[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:42:21[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:42:21[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:42:21[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:42:21[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:42:23[ INFO ]TestController: >>test测试成功
2023-06-05 11:42:23[ INFO ]UserController: >>login登录测试成功
2023-06-05 11:42:23[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:42:23[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:42:24[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:42:24[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:42:24[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:42:24[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 11:42:24[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 11:42:24[ INFO ]UserEntity: >>equals测试成功
2023-06-05 11:42:24[ ERROR ]UserEntity: >>hashcode测试失败
2023-06-05 11:42:24[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:42:24[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:42:31[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:42:32[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:42:32[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:42:32[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:42:32[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:43:25[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:43:25[ INFO ]User: >>equals测试成功
2023-06-05 11:43:25[ ERROR ]User: >>hashcode测试失败
2023-06-05 11:43:31[ INFO ]TestController: >>test测试成功
2023-06-05 11:43:31[ INFO ]UserController: >>login登录测试成功
2023-06-05 11:43:31[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:43:31[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:43:31[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:43:31[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:43:31[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:43:31[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 11:43:31[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 11:43:31[ INFO ]UserEntity: >>equals测试成功
2023-06-05 11:43:31[ ERROR ]UserEntity: >>hashcode测试失败
2023-06-05 11:43:31[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:43:32[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:43:33[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:43:33[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:43:40[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:43:40[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:43:41[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:43:54[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:43:54[ ERROR ]User: >>equals测试失败
2023-06-05 11:43:54[ ERROR ]User: >>hashcode测试失败
2023-06-05 11:43:59[ INFO ]TestController: >>test测试成功
2023-06-05 11:43:59[ INFO ]UserController: >>login登录测试成功
2023-06-05 11:43:59[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:43:59[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:43:59[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:43:59[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:43:59[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:43:59[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 11:43:59[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 11:43:59[ ERROR ]UserEntity: >>equals测试失败
2023-06-05 11:43:59[ ERROR ]UserEntity: >>hashcode测试失败
2023-06-05 11:44:00[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:44:00[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:44:00[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:44:00[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:44:00[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:44:01[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:44:01[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:45:01[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:45:01[ ERROR ]User: >>equals测试失败
2023-06-05 11:45:01[ ERROR ]User: >>hashcode测试失败
2023-06-05 11:49:42[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:49:43[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:49:49[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:52:59[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 11:52:59[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 11:53:09[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:53:15[ INFO ]TestController: >>test测试成功
